,locationId,location,parameter,value,unit,country,city,isMobile,isAnalysis,entity,sensorType,date.utc,date.local,coordinates.latitude,coordinates.longitude
52,1938,Seattle-Beacon Hill,pm10,6.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 23:00:00+00:00,2024-03-23 16:00:00,47.568236000000006,-122.308628
53,1938,Seattle-Beacon Hill,pm10,6.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 22:00:00+00:00,2024-03-23 15:00:00,47.568236000000006,-122.308628
54,1938,Seattle-Beacon Hill,pm10,7.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 21:00:00+00:00,2024-03-23 14:00:00,47.568236000000006,-122.308628
55,1938,Seattle-Beacon Hill,pm10,5.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 20:00:00+00:00,2024-03-23 13:00:00,47.568236000000006,-122.308628
56,1938,Seattle-Beacon Hill,pm10,7.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 19:00:00+00:00,2024-03-23 12:00:00,47.568236000000006,-122.308628
57,1938,Seattle-Beacon Hill,pm10,12.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 18:00:00+00:00,2024-03-23 11:00:00,47.568236000000006,-122.308628
58,1938,Seattle-Beacon Hill,pm10,16.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 17:00:00+00:00,2024-03-23 10:00:00,47.568236000000006,-122.308628
59,1938,Seattle-Beacon Hill,pm10,16.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 16:00:00+00:00,2024-03-23 09:00:00,47.568236000000006,-122.308628
60,1938,Seattle-Beacon Hill,pm10,18.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 15:00:00+00:00,2024-03-23 08:00:00,47.568236000000006,-122.308628
61,1938,Seattle-Beacon Hill,pm10,17.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 14:00:00+00:00,2024-03-23 07:00:00,47.568236000000006,-122.308628
62,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 13:00:00+00:00,2024-03-23 06:00:00,47.568236000000006,-122.308628
63,1938,Seattle-Beacon Hill,pm10,11.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 12:00:00+00:00,2024-03-23 05:00:00,47.568236000000006,-122.308628
64,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 11:00:00+00:00,2024-03-23 04:00:00,47.568236000000006,-122.308628
65,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 10:00:00+00:00,2024-03-23 03:00:00,47.568236000000006,-122.308628
66,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 09:00:00+00:00,2024-03-23 02:00:00,47.568236000000006,-122.308628
67,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 08:00:00+00:00,2024-03-23 01:00:00,47.568236000000006,-122.308628
68,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 07:00:00+00:00,2024-03-23 00:00:00,47.568236000000006,-122.308628
69,1938,Seattle-Beacon Hill,pm10,11.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 06:00:00+00:00,2024-03-22 23:00:00,47.568236000000006,-122.308628
70,1938,Seattle-Beacon Hill,pm10,15.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 05:00:00+00:00,2024-03-22 22:00:00,47.568236000000006,-122.308628
71,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 04:00:00+00:00,2024-03-22 21:00:00,47.568236000000006,-122.308628
72,1938,Seattle-Beacon Hill,pm10,11.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 03:00:00+00:00,2024-03-22 20:00:00,47.568236000000006,-122.308628
73,1938,Seattle-Beacon Hill,pm10,13.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 02:00:00+00:00,2024-03-22 19:00:00,47.568236000000006,-122.308628
74,1938,Seattle-Beacon Hill,pm10,12.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 01:00:00+00:00,2024-03-22 18:00:00,47.568236000000006,-122.308628
75,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-23 00:00:00+00:00,2024-03-22 17:00:00,47.568236000000006,-122.308628
76,1938,Seattle-Beacon Hill,pm10,11.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 23:00:00+00:00,2024-03-22 16:00:00,47.568236000000006,-122.308628
77,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 22:00:00+00:00,2024-03-22 15:00:00,47.568236000000006,-122.308628
78,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 21:00:00+00:00,2024-03-22 14:00:00,47.568236000000006,-122.308628
79,1938,Seattle-Beacon Hill,pm10,6.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 20:00:00+00:00,2024-03-22 13:00:00,47.568236000000006,-122.308628
80,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 19:00:00+00:00,2024-03-22 12:00:00,47.568236000000006,-122.308628
81,1938,Seattle-Beacon Hill,pm10,13.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 18:00:00+00:00,2024-03-22 11:00:00,47.568236000000006,-122.308628
82,1938,Seattle-Beacon Hill,pm10,12.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 17:00:00+00:00,2024-03-22 10:00:00,47.568236000000006,-122.308628
83,1938,Seattle-Beacon Hill,pm10,13.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 16:00:00+00:00,2024-03-22 09:00:00,47.568236000000006,-122.308628
84,1938,Seattle-Beacon Hill,pm10,11.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 15:00:00+00:00,2024-03-22 08:00:00,47.568236000000006,-122.308628
85,1938,Seattle-Beacon Hill,pm10,7.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 14:00:00+00:00,2024-03-22 07:00:00,47.568236000000006,-122.308628
86,1938,Seattle-Beacon Hill,pm10,5.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 13:00:00+00:00,2024-03-22 06:00:00,47.568236000000006,-122.308628
87,1938,Seattle-Beacon Hill,pm10,6.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 12:00:00+00:00,2024-03-22 05:00:00,47.568236000000006,-122.308628
88,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 11:00:00+00:00,2024-03-22 04:00:00,47.568236000000006,-122.308628
89,1938,Seattle-Beacon Hill,pm10,6.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 10:00:00+00:00,2024-03-22 03:00:00,47.568236000000006,-122.308628
90,1938,Seattle-Beacon Hill,pm10,6.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 09:00:00+00:00,2024-03-22 02:00:00,47.568236000000006,-122.308628
91,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 08:00:00+00:00,2024-03-22 01:00:00,47.568236000000006,-122.308628
92,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 07:00:00+00:00,2024-03-22 00:00:00,47.568236000000006,-122.308628
93,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 06:00:00+00:00,2024-03-21 23:00:00,47.568236000000006,-122.308628
94,1938,Seattle-Beacon Hill,pm10,12.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 05:00:00+00:00,2024-03-21 22:00:00,47.568236000000006,-122.308628
95,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-22 04:00:00+00:00,2024-03-21 21:00:00,47.568236000000006,-122.308628
